index,Country,Region
0,China,Asia
1,Mongolia,Asia
2,Uzbekistan,Asia
3,Laos,Asia
4,Maldives,Asia
5,Taiwan,Asia
6,Kazakhstan,Asia
7,Sri Lanka,Asia
8,South Korea,Asia
9,Cambodia,Asia
10,Brunei,Asia
11,Turkmenistan,Asia
12,Thailand,Asia
13,Vietnam,Asia
14,Bangladesh,Asia
15,Philippines,Asia
16,Bhutan,Asia
17,Kyrgyzstan,Asia
18,Indonesia,Asia
19,India,Asia
20,North Korea,Asia
21,Singapore,Asia
22,Japan,Asia
23,Tajikistan,Asia
24,Myanmar,Asia
25,Nepal,Asia
26,Malaysia,Asia
27,Tonga,Australia and Oceania
28,Kiribati,Australia and Oceania
29,Solomon Islands,Australia and Oceania
30,Palau,Australia and Oceania
31,New Zealand,Australia and Oceania
32,Federated States of Micronesia,Australia and Oceania
33,East Timor,Australia and Oceania
34,Samoa,Australia and Oceania
35,Australia,Australia and Oceania
36,Fiji,Australia and Oceania
37,Marshall Islands,Australia and Oceania
38,Vanuatu,Australia and Oceania
39,Tuvalu,Australia and Oceania
40,Papua New Guinea,Australia and Oceania
41,Nauru,Australia and Oceania
42,Haiti,Central America and the Caribbean
43,Dominica,Central America and the Caribbean
44,Guatemala,Central America and the Caribbean
45,The Bahamas,Central America and the Caribbean
46,Grenada,Central America and the Caribbean
47,Antigua and Barbuda,Central America and the Caribbean
48,Costa Rica,Central America and the Caribbean
49,Dominican Republic,Central America and the Caribbean
50,Saint Kitts and Nevis,Central America and the Caribbean
51,Jamaica,Central America and the Caribbean
52,Saint Lucia,Central America and the Caribbean
53,Cuba,Central America and the Caribbean
54,Nicaragua,Central America and the Caribbean
55,El Salvador,Central America and the Caribbean
56,Panama,Central America and the Caribbean
57,Trinidad and Tobago,Central America and the Caribbean
58,Honduras,Central America and the Caribbean
59,Belize,Central America and the Caribbean
60,Barbados,Central America and the Caribbean
61,Saint Vincent and the Grenadines,Central America and the Caribbean
62,Sweden,Europe
63,Kosovo,Europe
64,Iceland,Europe
65,France,Europe
66,Latvia,Europe
67,Russia,Europe
68,San Marino,Europe
69,Liechtenstein,Europe
70,Czech Republic,Europe
71,Lithuania,Europe
72,Italy,Europe
73,Bulgaria,Europe
74,Ukraine,Europe
75,Poland,Europe
76,Slovenia,Europe
77,Netherlands,Europe
78,Romania,Europe
79,Estonia,Europe
80,Georgia,Europe
81,United Kingdom,Europe
82,Malta,Europe
83,Montenegro,Europe
84,Ireland,Europe
85,Hungary,Europe
86,Bosnia and Herzegovina,Europe
87,Albania,Europe
88,Serbia,Europe
